Shopping Cart,عربة التسوق
Log Out,الخروج
Total:,مجموع
Comments,التعليقات
Place order now,إتمام طلب شراء الآن
One step checkout,الدفع عبر محطة واحدة
Recent Orders,طلبات الشراء الأخيرة
My Dashboard,لوحة التحكم الخاصة بي
View All,عرض الكل
Status,الحالة
Order Total,إجمالي قيمة طلب الشراء
Ship To,الشحن إلى
Date,التاريخ
Order #,طلب الشراء رقم #
Related Products,المنتجات ذات الصلة
"""My Wishlist""",قائمة أمنياتي
Some of the products are currently out of stock.,بعض المنتجات غير متوفرة حالياً
You are now logged out, لقد قمت بتسجيل خروجك الآن
Edit Account Information, تحرير معلومات الحساب
Additional Address Entries,عناوين إضافية
Add New Address, إضافة عنوان جديد
Default Addresses,  العناوين الأساسية
Change Billing Address, تغيير عنوان إرسال الفواتير
Change Shipping Address, تغيير عنوان الشحن
You have no additional address entries in your address book., ليس لديك أي عناوين إضافية في دفتر العناوين.
Order Status,حالة الطلب
Reorder,إعادة الطلب
Dispatched ,تم إرسالها
View Order,استعراض الطلب
Canceled, ملغاة
Product Details and Comment,تفاصيل المنتج والتعليقات
Out of stock,غير متوفرة
Last Ordered Items, أحدث طلباتك
Go to Wishlist, الذهاب إلى قائمة الامنيات
Some of the products are out of stock., بعض المنتجات غير متوفرة حالياً.
You are now logged out, لقد قمت بتسجيل خروجك الآن
Ship to different address,الشحن إلى عنوان آخر
Item,العناصر
Makeup brush finder,البحث عن فراشي الماكياج 
New Arrivals,منتجات جديدة
Lipstick Finder,البحث عن أحمر الشفاه 
After Sales Support,دعم ما بعد البيع
Online consultations,استشارات عبر الإنترنت
100% Genuine Products,100% منتجات أصلية
Authorized Retailers,متاجر بيع بالتجزئة معتمدين
About us,لمحة عنا
In The News,أخبار
My Order,طلبي
Privacy Policy,سياسة الخصوصية
Contact us,للتواصل معنا
FAQ,للمساعدة والأسئلة الشائعة
Return & Exchange,سياسة الشحن والاسترجاع
Makeup,مستحضرات التجميل 
Quick Links,روابط سريعة
BE THE FIRST TO KNOW,كن أول من يعلم
Beauty,العناية بالجمال 
Search entire store here...,البحث في كامل المتجر بالضغط هنا...
Beauty Guide,دليل الجمال 
SHOP BY BRAND,التسوق حسب الماركات 
Shop By,التسوق وفق
Shopping Options,خيارات التسوق
Category,الفئة
Manufacturer,الشركة المصنعة
Go,بحث
Search Brands,البحث عن الماركات
Adding…,إضافة...
Your cart,سلة التسوق
The requested qty is not available,الكمية المطلوبة غير متوفرة
Cart Subtotal,المجموع الثانوي لسلة التسوق
Go to Checkout,انتقل لدفع الفاتورة
Summary,الملخص
Shipping,الشحن
Tax,الضريبة
Check Out with Multiple Addresses,دفع الفاتورة عبر عدة عناوين
FREE!,مجاناً!
Move all to wish list,نقل الكل إلى سلة الرغبات
Shipping,الشحن
Review & Payments,المراجعة والدفعات
Order Summary,ملخص الطلب
Items in Cart,منتجات سلة التسوق
You can create an account after checkout.,بإمكانك إنشاء حساب بعد دفع الفاتورة.
Phone Number,رقم الهاتف:
Next,التالي
Ship To:,وجهة الشحن:
Shipping Method:,طريقة الشحن:
Cash On Delivery,الدفع عند الاستلام
Apply Discount Code,تطبيق كود الخصم
Credit / Debit Card,بطاقة الائتمان/الخصم
Place Order,طلب شراء
Sign Out,تسجيل خروج
Contact Us,تواصل معنا
My account,حسابي
My Wish List,سلة رغباتي
Order Information,معلومات الطلب
Items Ordered,المنتجات المطلوبة
State,الإمارة
Phone,هاتف
Go back,العودة
Subscription option,خيار الاشتراك
Recently Ordered,المنتجات التي طُلبت مؤخراً
You have no items in your wish list.,لا توجد منتجات في سلة رغباتك.
