id,availability,condition,description,image_link,link,title,price,sale_price,brand
"MC-darom","out of stock","new","Espresso stained wood.

Beet colored crushed velvet curtains.

Moody candlelight.

Their love story began in this dark room","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/e/melt-cosmetics-dark-room_1.jpg","https://stage-glamazle.hyperx.cloud/melt-cosmetics-lipstick-dark-room.html?___store=default","Melt Cosmetics Lipstick - dark room","99.000000","10.000000","Melt Cosmetics"
"MC-bang","in stock","new","It’s high noon. You didn’t bring your pistol to this showdown. Instead you have neon orange in your holster.

You count 10 paces…

Bang! Bang!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/c/mc-lp-bb_00.jpg","https://stage-glamazle.hyperx.cloud/melt-cosmetics-lipstick-bang-bang.html?___store=default","Melt Cosmetics Lipstick - Bang! Bang!","99.000000","10.000000","Melt Cosmetics"
"MC-shalad","in stock","new","Shadowy magenta and vaguely hot pink.

This shifty broad is difficult to describe in words. You’ll be shocked! :O","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/h/shady_lady.jpg","https://stage-glamazle.hyperx.cloud/melt-cosmetics-lipstick-shady-lady.html?___store=default","Melt Cosmetics Lipstick - Shady Lady","99.000000","10.000000","Melt Cosmetics"
"doc-stick-Love Potion","out of stock","new","A richly pigmented, full-coverage lipstick with a&nbsp;creamy satin finish.
&bull; Vegan&bull; Cruelty Free&nbsp;&bull; Gluten Free&nbsp;&bull; Paraben Free","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/l/o/lovepotion_lips-639x434.jpg","https://stage-glamazle.hyperx.cloud/dose-of-colors-lipstick-love-potion.html?___store=default","Dose of Colors Lipstick - Love Potion","95.000000","30.000000","Dose of Colors"
"EP-PR-001","in stock","new","Begin with a flawless canvas, on which to create lasting eye shadow color with crease-free, fade-free and smudge-proof longevity. Create a base on your eyelid before applying eye shadows--and prepare for some serious eye makeup wow-factor!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/c/o/coastal_scents_step_one_eye_primer.jpg","https://stage-glamazle.hyperx.cloud/coastal-scents-step-one-eye-primer.html?___store=default","Coastal Scents Step One Eye Primer","60.000000","39.000000","Coastal Scents"
"KA-lip-forever","in stock","new","Kevyn Aucoin The Matte Lip Color is a long lasting lipstick which provides great coverage and leaves the lips velvety smooth with a matte finish.

Leaving the lips in a state of fixed colour, The Matte Lip Color has a smudge-proof formula which stays put for hours. Rich in pigment, The Matte Lip Color offers velvety smooth, full coverage with a chic matte finish.

Enriched with special Esters and Emollient ingredients, The Matte Lip Color works to minimise wrinkles over time and leaves the lips looking smooth and fully coated with bright, vibrant and luminous colour.

Did you know? The Matte Lip Color is Paraben-Free.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/f/o/forever_1200.jpg","https://stage-glamazle.hyperx.cloud/kevyn-aucoin-matte-lip-color-forever.html?___store=default","Kevyn Aucoin Matte Lip Color FOREVER","189.000000","79.000000","Kevyn Aucoin"
"KA-celestial-candle","in stock","new","This sheer opalescent, champagne-colored powder works like a soft focus lens, blurring imperfections and accentuating your best features with an illuminating gleam. Applied over foundation, or bare skin, Candlelight highlights cheekbones and illuminates any areas that light would naturally strike. It can also be dusted all over the face for a pretty, ethereal glow that's lightweight, subtle & sophisticated.
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/k/e/kevyn_aucoin_the_celestial_powder_-_candlelight.png","https://stage-glamazle.hyperx.cloud/kevyn-aucoin-the-celestial-powder-candlelight.html?___store=default","KEVYN AUCOIN The Celestial Powder - Candlelight","252.000000","159.000000","Kevyn Aucoin"
"LC_pansy","in stock","new","Velvetines go on liquid, but dry matte. Touch-proof, transfer-proof & utterly addictive.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/v/e/velvetine_pansy.png","https://stage-glamazle.hyperx.cloud/lime-crime-velvetine-pansy.html?___store=default","Lime Crime Velvetine - Pansy","110.000000","10.000000","Lime Crime"
"LC_gerad","in stock","new","Light Coral with a neon note. Bold. Opaque. Recklessly loaded with pigment.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/e/geradium.png","https://stage-glamazle.hyperx.cloud/lime-crime-opaque-lipstick-geradium.html?___store=default","Lime Crime Opaque Lipstick - Geradium","99.000000","15.000000","Lime Crime"
"KALIP-endless","in stock","new","WHAT IS IT&bull; Velvety-smooth, full-coverage matte finish lip color&bull; The formula, containing special esters and emollient ingredients, guarantees to minimize wrinkles over time.WHY WE LOVE IT&bull; Applies smoothly with an ultra soft feel to the lips&bull; Radiant color pay-off&bull; Proven-tested to minimize fine lines and wrinkles on the lips after 30 days of continued use&bull; Paraben-free","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/k/e/kevyn_aucoin_matte_lip_color_endless.png","https://stage-glamazle.hyperx.cloud/kevyn-aucoin-matte-lip-color-endless.html?___store=default","Kevyn Aucoin Matte Lip Color ENDLESS","189.000000","79.000000","Kevyn Aucoin"
"KALIP-persistence","in stock","new","WHAT IS IT&bull; Velvety-smooth, full-coverage matte finish lip color&bull; The formula, containing special esters and emollient ingredients, guarantees to minimize wrinkles over time.WHY WE LOVE IT&bull; Applies smoothly with an ultra soft feel to the lips&bull; Radiant color pay-off&bull; Proven-tested to minimize fine lines and wrinkles on the lips after 30 days of continued use&bull; Paraben-free","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/k/e/kevyn_aucoin_matte_lip_color_persistence_1.png","https://stage-glamazle.hyperx.cloud/kevyn-aucoin-matte-lip-color-persistence.html?___store=default","Kevyn Aucoin Matte Lip Color PERSISTENCE","189.000000","79.000000","Kevyn Aucoin"
"lc_rave","in stock","new","Trippy electric lavender that will make you see double, a festival essential! 


Texture of a rose petal... in a bottle! Velvetines go on liquid, but dry matte. Touch-proof, transfer-proof & utterly addictive.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/a/rave_packaging__21090.1425928911.1280.1280.jpg","https://stage-glamazle.hyperx.cloud/lime-crime-velvetineliquid-lipstick-rave.html?___store=default","Lime Crime VelvetineLiquid Lipstick  - Rave","110.000000","10.000000","Lime Crime"
"725492","out of stock","new","A refreshing and effervescent purple that will bring you back to one of the most popular fizzy drinks. Grape Soda is a purple to wear on any occasion. Super opaque and long-wearing, this lipstick will make your look pop.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/w/h/whiteninglightning-september-grapesoda2.jpg","https://stage-glamazle.hyperx.cloud/gerard-cosmetics-grape-soda-lipstick.html?___store=default","Gerard Cosmetics Grape Soda Lipstick","99.000000","25.000000","Gerard"
"725415","out of stock","new","Fiji is the perfect color for the perfect pink pop. Super girly but so gorgeous. Not quite neon but definitely a stand out shade.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/w/h/whiteninglightning-september161893-fiji_1.jpg","https://stage-glamazle.hyperx.cloud/gerard-color-your-smile-lighted-lip-gloss-fiji.html?___store=default","Gerard Color your smile Lighted Lip Gloss Fiji","122.000000","29.000000","Gerard"
"725445","in stock","new","Meet our stunning and exotic purple gloss that will stop traffic wherever you go! Fun will be in full bloom whenever you wear this striking hue.We all deserve to let our hair down once in a while. Why not up the amp and rock a purple lip while you're at it?","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/w/h/whiteninglightning-september161900-wildorchid_1.jpg","https://stage-glamazle.hyperx.cloud/gerard-color-your-smile-lighted-lip-gloss-wild-orchid.html?___store=default","Gerard Color your smile Lighted Lip Gloss Wild Orchid","122.000000","29.000000","Gerard"
"LMI002","in stock","new","ABOUT LOTTIE:Pack your beauty bag full of selfie-ready essentials with London label Lottie's lust-worthy lacquers, ultra-pretty make-up tools and cute accessories. It&rsquo;s as easy as nail painting by numbers with their manicure sets, nail files and make-up brushes.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/r/gre_1.jpg","https://stage-glamazle.hyperx.cloud/lottie-look-at-me-mirror-green.html?___store=default","Lottie Look at Me Mirror- Green ","29.000000","21.000000","Lottie"
"LMC001","out of stock","new","ABOUT LOTTIE:Pack your beauty bag full of selfie-ready essentials with London label Lottie's lust-worthy lacquers, ultra-pretty make-up tools and cute accessories. It&rsquo;s as easy as nail painting by numbers with their manicure sets, nail files and make-up brushes.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/j/_/j_3.jpg","https://stage-glamazle.hyperx.cloud/lottie-me-me-me-mirror.html?___store=default","Lottie Me Me Me Mirror","45.000000","15.000000","Lottie"
"PBN001","in stock","new","Pack your beauty bag full of selfie-ready essentials with London label Lottie's lust-worthy lacquers, ultra-pretty make-up tools and cute accessories. It&rsquo;s as easy as nail painting by numbers with their manicure sets, nail files and make-up brushes.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/n/_/n_2.jpg","https://stage-glamazle.hyperx.cloud/lottie-paint-by-numbers-manicure.html?___store=default","Lottie Paint by Numbers Manicure","65.000000","20.000000","Lottie"
"5060050423315","out of stock","new","100% Natural plant-based cellulose fibres vs nylon suitable for sensitive eyes, Conditioning Pro-Vitamin B &amp; Antioxidants, 12+ hour wear, Black vs white fibres blend better with mascara, Dramatic look, natural feel - better than false lashes, Easy-application.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/l/bl_2_3.jpg","https://stage-glamazle.hyperx.cloud/eyeko-black-magic-lash-boost.html?___store=default","Eyeko Black Magic Lash Boost","173.000000","109.000000","Eyeko"
"5060050423933","in stock","new","FAT LIQUID EYELINER INGREDIENTS: INGREDIENTS: Aqua (Water), Acrylates Copolymer, Propanediol, PPG-26, Sorbitol, Phenoxyethanol, PEG-40, Algae extract, Caprylyl Glycol. MAY CONTAIN: CI 77266 (Carbon Black), CI 77007 (Ultramarines).Created in London. Made in PRC.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/f/a/fa_3.jpg","https://stage-glamazle.hyperx.cloud/eyeko-fat-liquid-eyeliner.html?___store=default","Eyeko Fat Liquid Eyeliner","109.000000","45.000000","Eyeko"
"6six6","in stock","new","Ingredients PPG-3 Benzyl Ether Myristate, Mica, Ricinus Communis (Castor) Seed Oil, Copernicia Cerifera (Carnauba) Wax, VP/Eicosene Copolymer, Octyldodecanol, Ozokerite, Microcrystalline Wax, Silica, Polyester/Dimethicone/IPDI Copolymer Glycol, Vanillin, Stearyl Glycyrrhetinate, Tocopheryl Acetate, Tocopherol, Carthamus Tinctorius (Safflower) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Extract, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Simmondsia Chinensis (Jojoba) Seed Oil&nbsp;","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/6/./6.jpg","https://stage-glamazle.hyperx.cloud/melt-cosmetics-lipstick-6six6.html?___store=default","Melt Cosmetics Lipstick - 6six6","99.000000","10.000000","Melt Cosmetics"
"COVER-G30","in stock","new","This innovative formula contains Flash Fusion Technology, so as soon as you drop in and mix with your favorite product, nothing but pure pigment is left behind&mdash;allowing you to customize your ideal level of coverage. Blend them with anything liquid to create your desired coverage, including moisturizers, serums, oils, primers, foundations, and tinted moisturizers that are water-, oil-, or silicone-based. Simply adjust your coverage by the number of drops you add. The pigments are coated with lecithin, which is biochemically similar to the skin, to ensure seamless blending, precise control, and the smoothest application.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/3/g3.jpg","https://stage-glamazle.hyperx.cloud/cover-fx-custom-cover-drops-new-g30.html?___store=default","COVER FX Custom Cover Drops - G30","240.000000","50.000000","Cover FX"
"ABH_Wiz_granite","in stock","new","Sometimes brows need a little magic. This must-have pencil features an ultrafine, retractable tip to fill in gaps easily and mimic brow hair. Perfect for spot checking areas that may be sparse or over-tweezed, the smear-proof formula wears all day for a natural, fresh look.Some names are changing, but the shades will remain exactly the same so you can shade match across the entire Anastasia collection.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/r/gra_2.jpg","https://stage-glamazle.hyperx.cloud/anastasia-beverly-hills-brow-wiz-granite.html?___store=default","Anastasia Brow Wiz - Granite","114.000000","100.000000","Anastasia"
"VL_gotit","in stock","new","There's no way those are real!! Introducing our most natural lash in our line! Similar to the &lsquo;You Complete Me&rsquo; lashes, but without the gradient effect of a thicker outer corner and with the length of the hair much shorter and consistent throughout the band. I'm on the right track baby I was born this way!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/c/d/cd_2.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-got-it-from-my-momma.html?___store=default","Velour Lashes - Got it from my Momma!","105.000000","39.000000","Velour Lashes"
"VL_arethose","in stock","new","Mirror, mirror on the wall, who's the most natural of them all? These lashes are designed for everyday wear, with the mink sparsely distributed along the lash. Although less dramatic, these lashes are still noticeable in terms of its medium length. Are those Real? Maybe, maybe not.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/v/e/ve_1.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-are-those-real.html?___store=default","Velour Lashes - Are Those Real?","105.000000","39.000000","Velour Lashes"
"VL_wingwoman","in stock","new","We've taken one of our best sellers 'Are Those Real' and added a flare towards the ends! This gorgeous lash creates a semi natural gradient effect with the lashes getting longer towards outer corners. Giving you that cat eye effect without the thickness. You are getting the attention with or without your wing woman!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/l/o/lo_2.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-you-re-my-wing-woman.html?___store=default","Velour Lashes - You're my Wing Woman","105.000000","39.000000","Velour Lashes"
"VL_Winging","in stock","new","Addicted to 'Doll Me Up' lashes? But want a little bit more flare towards the ends? We got you! #WING out your 'Doll Me Up' lashes with our brand new #WINGing lashes. With a doll-like effect, these lashes will give you length and impact. The design of these lashes follow a long-short pattern, with more mink concentrated at the longer sections and towards the outer corner of the eyes. Every where you go with these babies, #Winning.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/v/f/vfg.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-winging.html?___store=default","Velour Lashes - WINGing","105.000000","16.000000","Velour Lashes"
"VL_shawty","in stock","new","Yes, that's my name don't wear it out. These shorty lashes were designed to be a layering lash or for those who want the volume without the length. They were design to be short in length but abundant in hair! The length of hair is also consistent throughout the band making it a perfect layering piece! I may be short but I'm like dynamite!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/f/r/fr_1_2.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-hey-shawty.html?___store=default","Velour Lashes - Hey, Shawty!","105.000000","39.000000","Velour Lashes"
"VL_ucrazy","in stock","new","This unique and exclusive design by Velour Lashes are truly to die for. The design mimics a layering lash with thick thin pattern stacked on top of a criss cross pattern lash, giving your eyes the volume it needs with even thickness throughout the entire eye. We are getting wild, what about you?!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/b/gb_1.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-girl-you-craazy.html?___store=default","Velour Lashes - Girl, You CRAAZY!","105.000000","39.000000","Velour Lashes"
"VL_lashaholic","in stock","new","I promise I'm not a Lashaholic! These super dramatic lashes were designed for those who love layering their lashes. We&rsquo;ve combined our popular 'Strike A Pose' with 'Hey Shawty!' into one lash to create this super thick voluminous lash. With an extra short layer to create the thickness, and the longest length is at the center of the lash band. They tried to make me go to rehab, but I said no, no, no!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/v/d/vd.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-guilty-lashaholic.html?___store=default","Velour Lashes - Guilty, Lashaholic!","105.000000","39.000000","Velour Lashes"
"VL_nothings","in stock","new","Introducing one of the highly demanded Ardell Whispies in natural Mink material. Very similar to 'Whispie Me Away' but without the gradient effect and slightly longer in length of hair. These lashes allow you to achieve volume without extreme thickness as a result of this cluster pattern. Your wish is my command darling!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/w/sw_2.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-whispie-sweet-nothings.html?___store=default","Velour Lashes - Whispie Sweet Nothings","105.000000","39.000000","Velour Lashes"
"VL_lashinthecity","in stock","new","Girls just wanna have fun! These lashes perfectly compliment a dark smokey eye. Designed with extra fur on the entire band to provide a dramatic and full look. This style also adds a touch of &ldquo;wing&rdquo; to the corner of the eyes. Shoes and martini's shouldn't be your only accessory.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/l/a/las.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-lash-in-the-city.html?___store=default","Velour Lashes - Lash in the City","105.000000","39.000000","Velour Lashes"
"VL_strikeapose","in stock","new","Are you ready for the spotlight? One of our most dramatic pair, evenly distributed across the band designed with an abundance of fur. With its extra length and thickness, it's without a doubt you'll be the center of attention. You are definitely read!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/t/st_3.jpg","https://stage-glamazle.hyperx.cloud/velour-lashes-strike-a-pose.html?___store=default","Velour Lashes - Strike A Pose","105.000000","39.000000","Velour Lashes"
"725506","in stock","new","Lucy was inspired by the iconic comedian and sitcom star who will forever be America's sweetheart.We added a hint of golden shimmer to give it dimension and it looks beautiful on the cheekbones or mixed with the blush of your choice.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/l/u/lu_1.jpg","https://stage-glamazle.hyperx.cloud/gerard-cosmetics-star-powder-lucy.html?___store=default","Gerard Cosmetics Star Powder - Lucy","152.000000","39.000000","Gerard"
"725507","in stock","new","This is perfect for &ldquo;Strobing&rdquo; as well as regular highlighting.Pale beauties can wear this alone as a shimmery blush more than a highlighter because it&rsquo;s quite pigmented.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/a/mar_1.jpg","https://stage-glamazle.hyperx.cloud/gerard-cosmetics-star-powder-marlyn.html?___store=default","Gerard Cosmetics Star Powder - Marilyn","152.000000","36.000000","Gerard"
"CFX_sunlight","in stock","new","This hydrating and illuminating powder imparts a sophisticated luminous glow while helping to hydrate and condition the skin during wear.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/c/o/coverfx-sunlight.jpg","https://stage-glamazle.hyperx.cloud/cover-fx-illuminator-sunlight.html?___store=default","COVER FX Illuminator -Sunlight","180.000000","70.000000","Cover FX"
"CFX_moonlight","in stock","new","This hydrating and illuminating powder imparts a sophisticated luminous glow while helping to hydrate and condition the skin during wear.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/c/o/coverfx-moonlight.jpg","https://stage-glamazle.hyperx.cloud/cover-fx-illuminator-moonlight.html?___store=default","COVER FX Illuminator -Moonlight","180.000000","70.000000","Cover FX"
"681619805127","in stock","new","These liquid matte lipsticks are extremely creamy, glide on smooth and have a quick drying time. They are infused with peppermint oil which gives a very gentle tingle when you apply, and is super refreshing. At first glance these liquid lips had a slight sheen but this dries off and you are left with a flat, matte finish. This matte gloss is long lasting and eventually fades into an even stain on the lips that is non movable when it dries, so be careful while applying around the lip line because the darker shades will stain lighter skin tones quickly. That being said these colors are beautifully bold and vibrant. They don&rsquo;t feel drying on the lips and hardly need any touching up throughout the day.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/h/o/hon_1.jpg","https://stage-glamazle.hyperx.cloud/the-balm-meet-matte-hughes-liquid-lipstick-honest.html?___store=default","TheBalm Meet Matte Hughes Liquid Lipstick - Honest","70.000000","49.000000","TheBalm"
"681619805134","in stock","new","This long-wearing formula has a comfortable matte finish with no commitment issues. These matte vanilla mint liquid lipsticks are stuck on you without feeling clingy!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/h/j/hj_3.jpg","https://stage-glamazle.hyperx.cloud/thebalm-meet-matte-hughes-liquid-lipstick-chivalrous.html?___store=default","TheBalm Meet Matte Hughes Liquid Lipstick - Chivalrous","70.000000","49.000000","TheBalm"
"681619805141","in stock","new","This long-wearing formula has a comfortable matte finish with no commitment issues. These matte vanilla mint liquid lipsticks are stuck on you without feeling clingy!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/e/se_3.jpg","https://stage-glamazle.hyperx.cloud/thebalm-meet-matte-hughes-liquid-lipstick-sentimental.html?___store=default","TheBalm Meet Matte Hughes Liquid Lipstick - Sentimental","70.000000","49.000000","TheBalm"
"681619800764","out of stock","new","This weightless, silky-smooth tinted moisturizer with SPF 18 offers sun protection for everyday drama while helping to improve the look of your skin&rsquo;s tone and texture, leaving you with a polished complexion.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/m/e/me.png","https://stage-glamazle.hyperx.cloud/thebalm-balm-shelter-tinted-moisturizer-spf-18-medium-dark.html?___store=default","TheBalm Balm Shelter Tinted Moisturizer SPF 18 - medium/dark","90.000000","63.000000","TheBalm"
"681619802676","out of stock","new","The powder is finer and lighter than others I've tried, so it's nicer to apply and easily gives the appearance of thicker, fuller brows. It's great for doing soft, subtle brows for more day-to-day looks, but also works well with more glamorous eye looks as the shade is complimentary, rather than stark and obvious.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/o/bow.jpg","https://stage-glamazle.hyperx.cloud/thebalm-brow-pow-light-brown.html?___store=default","TheBalm Brow Pow - Light Brown","57.000000","40.000000","TheBalm"
